Fund Name,Category,Subcategory,Plan,isin,scheme_code,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),YTM (%),Macaulay Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),ytm_score,duration_score,maturity_score,credit_score,total_score,fund_rating,Top Holdings Count,Fund URL
Edelweiss Liquid Dir,debt,Liquid,Direct,INF754K01GM4,140196,6.36,7.04,6.23,Debt: Liquid,6.22,6.92,6.14,6.51,0.11,AAA,0.1,2,10,10,9,31,Good,25,https://www.valueresearchonline.com/funds/16576/
Edelweiss Nifty 1D Rate Liquid ETF-Growth,debt,Liquid,Direct,INF754K01VW2,153920,,,,Debt: Liquid,,,,5.31,0,Cash,0,1,10,10,10,31,Good,0,https://www.valueresearchonline.com/funds/45545/
Franklin India Liquid Super Inst Plan Dir,debt,Liquid,Direct,INF090I01JV2,118577,6.35,7.01,6.2,Debt: Liquid,6.22,6.92,6.14,6.81,0.11,AAA,0.11,2,10,10,9,31,Good,25,https://www.valueresearchonline.com/funds/16848/
Groww Liquid Dir,debt,Liquid,Direct,INF666M01451,119135,6.33,7.01,6.08,Debt: Liquid,6.22,6.92,6.14,6.41,0.07,AAA,0.07,2,10,10,9,31,Good,15,https://www.valueresearchonline.com/funds/15583/
Groww Nifty 1D Rate Liquid ETF,debt,Liquid,Direct,INF666M01IP5,152891,4.82,,,Debt: Liquid,5.8,,,5.35,0,Cash,0,1,10,10,10,31,Good,0,https://www.valueresearchonline.com/funds/44564/
HDFC Liquid Dir,debt,Liquid,Direct,INF179KB1HP9,119091,6.31,6.96,6.17,Debt: Liquid,6.22,6.92,6.14,6.61,0.09,AAA,0.1,4,10,10,9,33,Good,25,https://www.valueresearchonline.com/funds/16167/
HDFC NIFTY 1D RATE LIQUID ETF-Growth,debt,Liquid,Direct,INF179KC1HE2,152049,4.89,,,Debt: Liquid,5.8,,,5.35,0,Cash,0,1,10,10,10,31,Good,0,https://www.valueresearchonline.com/funds/43738/
HSBC Liquid Dir,debt,Liquid,Direct,INF336L01CC8,120038,6.3,6.99,6.2,Debt: Liquid,6.22,6.92,6.14,6.55,0.09,AAA,0.09,3,10,10,9,32,Good,25,https://www.valueresearchonline.com/funds/16285/
ICICI Pru BSE Liquid Rate ETF-Growth,debt,Liquid,Direct,INF109K1A021,153378,5.08,,,Debt: Liquid,5.8,,,5.34,,Cash,0,1,10,10,10,31,Good,0,https://www.valueresearchonline.com/funds/45036/
ICICI Pru BSE Liquid Rate ETF-IDCW,debt,Liquid,Direct,INF109K1A021,153378,5.05,5.91,5.34,Debt: Liquid,5.8,6.7,5.95,5.34,,Cash,0,1,10,10,10,31,Good,0,https://www.valueresearchonline.com/funds/37659/
