Sr. No.,Company name,ISIN,BSE Symbol, BSE 6 month Avg Total Market Cap in (Rs. Crs.) ,NSE Symbol, NSE 6 month Avg Total Market Cap (Rs. Crs.) ,MSEI Symbol, MSEI 6 month Avg Total Market Cap in (Rs Crs.) ,Average of All Exchanges (Rs. Cr.),"Categorization as per SEBI Circular dated Oct 6, 2017"
4307,Satra Properties(India) Ltd,INE086E01021,SATRAPROP,  15.52 ,-, - ,-, - ,  15.52 ,Small Cap
4308,Raj Packaging Industries Ltd.,INE639C01013,RAJPACK,  15.49 ,-, - ,-, - ,  15.49 ,Small Cap
4309,Link Pharma Chem Ltd.,INE302F01011,LINKPH,  15.44 ,-, - ,-, - ,  15.44 ,Small Cap
4310,Starlite Global Enterprises (India) Limited,INE870X01010,-, - ,-, - ,SGEL,  15.43 ,  15.43 ,Small Cap
4311,BNR Udyog Ltd.,INE355C01016,BNRUDY,  15.38 ,-, - ,-, - ,  15.38 ,Small Cap
4312,Rajasthan Petro Synthetics Ltd.,INE374C01017,RAJSPTR,  15.38 ,-, - ,-, - ,  15.38 ,Small Cap
4313,Vivid Global Industries Limited,INE737C01023,VIVIDIND,  15.37 ,-, - ,-, - ,  15.37 ,Small Cap
4314,Creative Eye Ltd.,INE230B01021,CREATIVEYE,  15.43 ,CREATIVEYE,  15.26 ,-, - ,  15.34 ,Small Cap
4315,Shyam Telecom Ltd.,INE635A01023,SHYAMTEL,  15.36 ,SHYAMTEL,  15.31 ,-, - ,  15.33 ,Small Cap
4316,Emmessar Biotech & Nutrition Ltd.,INE634B01016,EMMESSA,  15.33 ,-, - ,-, - ,  15.33 ,Small Cap
4317,Integrated Capital Services Ltd,INE682B01023,ICSL,  15.32 ,-, - ,-, - ,  15.32 ,Small Cap
4318,Jackson Investments Limited,INE508N01025,JACKSON,  15.32 ,-, - ,-, - ,  15.32 ,Small Cap
4319,TIAAN CONSUMER LIMITED,INE864T01011,TIAANC,  15.32 ,-, - ,-, - ,  15.32 ,Small Cap
4320,Perfect-Octave Media Projects Ltd,INE814L01013,OCTAVE,  15.30 ,-, - ,-, - ,  15.30 ,Small Cap
4321,GSL Securities Ltd.,INE721D01017,GSLSEC,  15.28 ,-, - ,-, - ,  15.28 ,Small Cap
4322,STELLAR CAPITAL SERVICES LIMITED,INE325P01011,STELLAR,  15.26 ,-, - ,-, - ,  15.26 ,Small Cap
4323,Kkalpana Plastick Limited,INE465K01016,KKPLASTICK,  15.23 ,-, - ,-, - ,  15.23 ,Small Cap
4324,Kenrik Industries Limited,INE0AOG01018,KENRIK,  15.22 ,-, - ,-, - ,  15.22 ,Small Cap
4325,Laffan Software Limited,INE991F01011,-, - ,-, - ,LAFFANSOFT,  15.22 ,  15.22 ,Small Cap
4326,Coastal Roadways Ltd.,INE229E01019,COARO,  15.17 ,-, - ,-, - ,  15.17 ,Small Cap
4327,Computer Point Ltd.,INE607B01012,COMPUPN,  15.15 ,-, - ,-, - ,  15.15 ,Small Cap
4328,Rajdarshan Industries Ltd.,INE610C01014,ARENTERP,  15.31 ,ARENTERP,  14.99 ,-, - ,  15.15 ,Small Cap
4329,Credifin Limited,INE405N01016,-, - ,-, - ,CRED,  15.14 ,  15.14 ,Small Cap
4330,MT EDUCARE LIMITED,INE472M01018,MTEDUCARE,  15.36 ,MTEDUCARE,  14.87 ,-, - ,  15.12 ,Small Cap
4331,NEW LIGHT INDUSTRIES LIMITED,INE835U01027,NEWLIGHT,  15.11 ,-, - ,-, - ,  15.11 ,Small Cap
4332, Arrowhead Seperation Engineering Limited,INE0PP401015,ARROWHEAD,  15.11 ,-, - ,-, - ,  15.11 ,Small Cap
4333,Octavius Plantations Limited,INE117S01016,OCTAVIUSPL,  15.11 ,-, - ,-, - ,  15.11 ,Small Cap
4334,SIMPLEX MILLS COMPANY LIMITED,INE457H01027,SIMPLXMIL,  15.08 ,-, - ,-, - ,  15.08 ,Small Cap
4335,Maitri Enterprises Limited,INE501L01024,MAITRI,  15.06 ,-, - ,-, - ,  15.06 ,Small Cap
4336,Thakral Services (India) Limited,INE190F01028,THAKRAL,  15.03 ,-, - ,-, - ,  15.03 ,Small Cap
4337,Gyan Developers & Builders Ltd.,INE487G01018,GYANDEV,  15.02 ,-, - ,-, - ,  15.02 ,Small Cap
4338,Econo Trade (India) Limited,INE937K01014,ETIL,  15.02 ,-, - ,-, - ,  15.02 ,Small Cap
4339,Sai Industries Ltd.,INE213S01013,SAINDUS,  15.00 ,-, - ,-, - ,  15.00 ,Small Cap
4340,SHRYDUS INDUSTRIES LIMITED,INE488C01015,SHRYDUS,  14.95 ,-, - ,-, - ,  14.95 ,Small Cap
4341,Interworld Digital Ltd.,INE177D01020,INTERDIGI,  14.92 ,-, - ,-, - ,  14.92 ,Small Cap
4342,Sumeru Industries Ltd.,INE764B01029,SUMERUIND,  14.91 ,-, - ,-, - ,  14.91 ,Small Cap
4343,Garbi Finvest Limited,INE721C01019,GARBIFIN,  14.91 ,-, - ,-, - ,  14.91 ,Small Cap
4344,Rander Corporation Ltd.,INE821D01031,RANDER,  14.89 ,-, - ,-, - ,  14.89 ,Small Cap
4345,Eurotex Industries & Exports Ltd.,INE022C01012,EUROTEXIND,  15.43 ,EUROTEXIND,  14.24 ,-, - ,  14.84 ,Small Cap
4346,Shree Manufacturing Co. Ltd.,INE632A01012,SHRMFGC,  14.83 ,-, - ,-, - ,  14.83 ,Small Cap
4347,Euphoria Infotech (India) Limited,INE0PYT01018,EUPHORIAIT,  14.76 ,-, - ,-, - ,  14.76 ,Small Cap
4348,Gemstone Investments Ltd.,INE503D01027,GEMSI,  14.76 ,-, - ,-, - ,  14.76 ,Small Cap
4349,Mehta Integrated Finance Ltd.,INE240B01012,MEHIF,  14.75 ,-, - ,-, - ,  14.75 ,Small Cap
4350,Seasons Textiles Ltd,INE707B01010,SEASONST,  14.75 ,-, - ,-, - ,  14.75 ,Small Cap
4351,Avasara Finance Limited,INE759D01017,AVASARA,  14.72 ,-, - ,-, - ,  14.72 ,Small Cap
4352,Natraj Proteins Ltd.,INE444D01016,NATRAJPR,  14.71 ,-, - ,-, - ,  14.71 ,Small Cap
4353,Mahip Industries Limited,INE00CX01017,MAHIP,  14.70 ,-, - ,-, - ,  14.70 ,Small Cap
4354,India Lease Devl. Ltd.,INE333C01013,INDLEASE,  14.69 ,-, - ,-, - ,  14.69 ,Small Cap
4355,POPEES CARES LIMITED,INE149B01015,POPEES,  14.68 ,-, - ,-, - ,  14.68 ,Small Cap
4356,Asian Warehousing Limited,INE04Z101016,ASIAN,  14.67 ,-, - ,-, - ,  14.67 ,Small Cap
4357,KOURA FINE DIAMOND JEWELRY LIMITED,INE0M8R01011,KOURA,  14.64 ,-, - ,-, - ,  14.64 ,Small Cap
4358,Shirpur Gold Refinery Ltd.,INE196B01016,SHIRPUR-G,  14.63 ,-, - ,-, - ,  14.63 ,Small Cap
4359,Ekennis Software Service Limited,INE0KCM01010,EKENNIS,  14.61 ,-, - ,-, - ,  14.61 ,Small Cap
4360,Sree chem Resins Ltd,INE377C01010,SRECR,  14.60 ,-, - ,-, - ,  14.60 ,Small Cap
4361,G. K. P. Printing & Packaging Limited,INE05QJ01015,GKP,  14.59 ,-, - ,-, - ,  14.59 ,Small Cap
4362,Diggi Multitrade Limited,INE158R01012,DML,  14.58 ,-, - ,-, - ,  14.58 ,Small Cap
4363,Usha Martin Education & Solutions Limited,INE240C01028,UMESLTD,  14.58 ,UMESLTD,  14.55 ,-, - ,  14.57 ,Small Cap
4364,Univa Foods Limited,INE275F01019,UNIVAFOODS,  10.64 ,UNIVAFOODS,  18.40 ,-, - ,  14.52 ,Small Cap
4365,Gala Global Products Limited,INE480S01026,GGPL,  14.47 ,-, - ,-, - ,  14.47 ,Small Cap
4366,Ind-Agiv Commerce Ltd.,INE115E01010,INDAGIV,  14.42 ,-, - ,-, - ,  14.42 ,Small Cap
4367,Milestone Furniture Limited,INE424Z01011,MILEFUR,  14.40 ,-, - ,-, - ,  14.40 ,Small Cap
4368,R.R.Securities Ltd.,INE474H01014,RRSECUR,  14.39 ,-, - ,-, - ,  14.39 ,Small Cap
4369,Globe Commercials Limited,INE804Q01013,GLCL,  15.97 ,-, - ,GLOBE,  12.80 ,  14.38 ,Small Cap
4370,Sterling Green  Woods  Limited,INE398F01019,STRGRENWO,  14.38 ,-, - ,-, - ,  14.38 ,Small Cap
4371,Sanghvi Brands Limited,INE204Y01010,SBRANDS,  14.34 ,-, - ,-, - ,  14.34 ,Small Cap
4372,Beryl Securities Ltd,INE508J01015,BERYLSE,  14.30 ,-, - ,-, - ,  14.30 ,Small Cap
4373,TRUSTWAVE SECURITIES LIMITED,INE668Y01016,TRUSTWAVE,  14.26 ,-, - ,-, - ,  14.26 ,Small Cap
4374,VK Global Industries Limited,INE758B01013,VKGLOBAL,  14.21 ,-, - ,-, - ,  14.21 ,Small Cap
4375,Span Divergent Limited,INE004E01016,SDL,  14.21 ,-, - ,-, - ,  14.21 ,Small Cap
4376,Marshall Machines Ltd.,INE00SZ01018,-, - ,MARSHALL,  14.19 ,-, - ,  14.19 ,Small Cap
4377,TeleCanor Global Limited,INE381G01013,TELECANOR,  14.19 ,-, - ,-, - ,  14.19 ,Small Cap
4378,Eastern Gases Limited,INE846C01014,EASTERNGAS,  14.15 ,-, - ,-, - ,  14.15 ,Small Cap
4379,Anglo-French Drugs & Industries Limited,INE570E01016,-, - ,-, - ,AFDIL,  14.14 ,  14.14 ,Small Cap
4380,ANS Limited,INE234J01018,ANSINDUS,  14.13 ,-, - ,-, - ,  14.13 ,Small Cap
4381,Venmax Drugs And Pharmaceuticals Ltd,INE154G01022,VENMAX,  14.11 ,-, - ,-, - ,  14.11 ,Small Cap
4382,Sri Nachammai Cotton Mills Ltd.,INE443E01016,SRINACHA,  14.11 ,-, - ,-, - ,  14.11 ,Small Cap
4383,B.C. Power Controls Limited,INE905P01028,BCP,  14.08 ,-, - ,-, - ,  14.08 ,Small Cap
4384,ACE ENGITECH LIMITED,INE035401020,ACEENGITEC,  14.07 ,-, - ,-, - ,  14.07 ,Small Cap
4385,Galaxy Agrico Exports Ltd.,INE803L01016,GALAGEX,  14.07 ,-, - ,-, - ,  14.07 ,Small Cap
4386,SHIVAMSHREE BUSINESSES LIMITED,INE857P01021,SBL,  14.06 ,-, - ,-, - ,  14.06 ,Small Cap
4387,CHPL Industries Ltd.,INE714Q01014,CHPLIND,  14.05 ,-, - ,-, - ,  14.05 ,Small Cap
4388,Globale Tessile Limited,INE0URU01010,GLOBALE,  14.06 ,GLOBALE,  13.96 ,-, - ,  14.01 ,Small Cap
4389,Bil Energy Systems Limited,INE607L01029,BILENERGY,  13.95 ,-, - ,-, - ,  13.95 ,Small Cap
4390,Gian Life Care Limited,INE063601012,GIANLIFE,  13.90 ,-, - ,-, - ,  13.90 ,Small Cap
4391,First Custodian Fund (India) Ltd.,INE609B01018,1STCUS,  13.89 ,-, - ,-, - ,  13.89 ,Small Cap
4392,Winsome Yarns Ltd.,INE784B01035,WINSOME,  13.97 ,WINSOME,  13.69 ,-, - ,  13.83 ,Small Cap
4393,Tarai Foods Ltd.,INE906C01016,TARAI,  13.81 ,-, - ,-, - ,  13.81 ,Small Cap
4394,Yunik Managing Advisors Limited,INE143K01019,YUNIKM,  13.81 ,-, - ,-, - ,  13.81 ,Small Cap
4395,Kalyani Commercials Ltd.,INE610E01010,-, - ,KALYANI,  13.78 ,-, - ,  13.78 ,Small Cap
4396,Adcon Capital Services Limited,INE805Q01028,ADCON,  13.78 ,-, - ,-, - ,  13.78 ,Small Cap
4397,SHARP INVESTMENTS LTD,INE909D01026,SHARPINV,  13.69 ,-, - ,-, - ,  13.69 ,Small Cap
4398,DISHA RESOURCES LIMITED,INE193D01019,DRL,  13.68 ,-, - ,-, - ,  13.68 ,Small Cap
4399,Associated Coaters Limited,INE0RIQ01013,ASSOCIATED ,  13.67 ,-, - ,-, - ,  13.67 ,Small Cap
4400,Aroma Enterprises (India) Ltd.,INE371M01012,AROMAENT,  13.67 ,-, - ,-, - ,  13.67 ,Small Cap
4401,TEJASSVI AAHARAM LIMITED,INE173E01019,TEJASSVI,  13.66 ,-, - ,-, - ,  13.66 ,Small Cap
4402,Kiran Print-Pack Ltd.,INE516D01011,KIRANPR,  13.61 ,-, - ,-, - ,  13.61 ,Small Cap
4403,Velox Shipping and Logistics Limited,INE092P01017,VELOX,  13.56 ,-, - ,-, - ,  13.56 ,Small Cap
4404,Agarwal Duplex Board Mills Limited,INE290T01027,-, - ,-, - ,ADBML,  13.50 ,  13.50 ,Small Cap
4405,Fruition Venture Limited,INE836C01015,FRUTION,  13.49 ,-, - ,-, - ,  13.49 ,Small Cap
4406,Gujarat Investa Ltd.,INE373D01017,GUJINV,  13.43 ,-, - ,-, - ,  13.43 ,Small Cap
4407,JMG Corporation Ltd,INE745F01011,JMGCORP,  13.41 ,-, - ,-, - ,  13.41 ,Small Cap
4408,Indergiri Finance ltd.,INE628F01019,INDERGR,  13.39 ,-, - ,-, - ,  13.39 ,Small Cap
4409,JINDAL LEASEFIN LIMITED,INE919T01013,JLL,  13.39 ,-, - ,-, - ,  13.39 ,Small Cap
4410,Milestone Global Limited,INE151H01018,MILESTONE,  13.38 ,-, - ,-, - ,  13.38 ,Small Cap
4411,Ontic Finserve Limited,INE989S01042,ONTIC,  13.33 ,-, - ,-, - ,  13.33 ,Small Cap
4412,Garware Synthetics Ltd.,INE340D01016,GARWSYN,  13.29 ,-, - ,-, - ,  13.29 ,Small Cap
4413,REETECH INTERNATIONAL LIMITED,INE0MKO01015,REETECH,  13.28 ,-, - ,-, - ,  13.28 ,Small Cap
4414,Shivagrico Implements Ltd.,INE092H01014,SHIVAGR,  13.28 ,-, - ,-, - ,  13.28 ,Small Cap
4415,N.B. Footwear Ltd.,INE006F01018,NBFOOT,  13.25 ,-, - ,-, - ,  13.25 ,Small Cap
4416,Money Masters Leasing & Finance Limited,INE340O01021,MMLF,  13.22 ,-, - ,-, - ,  13.22 ,Small Cap
4417,Amforge Industries Ltd.,INE991A01020,AMFORG,  13.22 ,-, - ,-, - ,  13.22 ,Small Cap
4418,Suumaya Industries Ltd.,INE591Q01016,-, - ,SUULD,  13.21 ,-, - ,  13.21 ,Small Cap
4419,Ladam Affortable Housing Limited,INE213U01019,LAHL,  13.20 ,-, - ,-, - ,  13.20 ,Small Cap
4420,Bharat Textiles & Proofing Industri,INE201N01019,BHATEXT,  13.19 ,-, - ,-, - ,  13.19 ,Small Cap
4421,S.V. Trading & Agencies Ltd.,INE404N01019,ZSVTRADI,  13.18 ,-, - ,-, - ,  13.18 ,Small Cap
4422,Rama Petrochemicals Ltd,INE783A01013,RAMAPETRO,  13.18 ,-, - ,-, - ,  13.18 ,Small Cap
4423,Inditrade Capital Limited,INE347H01012,INDICAP,  13.17 ,-, - ,-, - ,  13.17 ,Small Cap
4424,Mitshi India Limited,INE844D01017,MITSHI,  13.09 ,-, - ,-, - ,  13.09 ,Small Cap
4425,Parmax Pharma Limited,INE240T01014,PARMAX,  13.05 ,-, - ,-, - ,  13.05 ,Small Cap
4426,Vani Commercials Limited,INE661Q01017,VANICOM,  12.99 ,-, - ,-, - ,  12.99 ,Small Cap
4427,Retro Green Revolution Limited,INE601N01010,RGRL,  12.98 ,-, - ,-, - ,  12.98 ,Small Cap
4428,BFL Asset Finvest Limited,INE948Q01018,BFLAFL,  12.95 ,-, - ,-, - ,  12.95 ,Small Cap
4429,Sun Granite Export Limited,INE032M01010,SUNGRAN,  12.94 ,-, - ,-, - ,  12.94 ,Small Cap
4430,Rajasthan Cylinders & Containers Limited,INE929D01016,RCCL,  12.94 ,-, - ,-, - ,  12.94 ,Small Cap
4431,Svaraj Trading & Agencies Ltd.,INE406N01014,ZSVARAJT,  12.93 ,-, - ,-, - ,  12.93 ,Small Cap
4432,Ganon Products Limited,INE162L01017,GANONPRO,  12.93 ,-, - ,-, - ,  12.93 ,Small Cap
4433,Dalal Street Investments Ltd.,INE422D01012,DSINVEST,  12.92 ,-, - ,-, - ,  12.92 ,Small Cap
4434,Bindal Exports Limited,INE564V01013,BINDALEXPO,  12.89 ,-, - ,-, - ,  12.89 ,Small Cap
4435,Prabhu Steel Industries Ltd.,INE821R01015,ZPRBHSTE,  12.85 ,-, - ,-, - ,  12.85 ,Small Cap
4436,Crimson Metal Engineering Company Ltd,INE318P01016,CRIMSON,  12.85 ,-, - ,-, - ,  12.85 ,Small Cap
4437,Minolta Finance Ltd.,INE514C01026,MINOLTAF,  12.82 ,-, - ,-, - ,  12.82 ,Small Cap
4438,Polycon International Ltd.,INE262C01014,POLYCON,  12.81 ,-, - ,-, - ,  12.81 ,Small Cap
4439,Lords Ishwar Hotels Limited,INE689J01013,LORDSHOTL,  12.78 ,-, - ,-, - ,  12.78 ,Small Cap
4440,Surya India Limited,INE446E01019,SURYAINDIA,  12.75 ,-, - ,-, - ,  12.75 ,Small Cap
4441,Tamilnadu Steel Tubes Ltd.,INE176E01012,TNSTLTU,  12.75 ,-, - ,-, - ,  12.75 ,Small Cap
4442,Shukra Bullions Limited,INE561E01015,SKRABUL,  12.73 ,-, - ,-, - ,  12.73 ,Small Cap
4443,Crane Infrastructure Limited,INE176L01017,CRANEINFRA,  12.71 ,-, - ,-, - ,  12.71 ,Small Cap
4444,Hathway Bhawani Cabletel & Datacom,INE525B01016,HATHWAYB,  12.69 ,-, - ,-, - ,  12.69 ,Small Cap
4445,Kush Industries Limited,INE979D01011,KUSHIND,  12.67 ,-, - ,-, - ,  12.67 ,Small Cap
4446,Suvidha Infraestate Corporation Limited,INE936N01010,SICL,  12.66 ,-, - ,-, - ,  12.66 ,Small Cap
4447,Mid India Industries Limited,INE401C01018,MIDINDIA,  12.62 ,-, - ,-, - ,  12.62 ,Small Cap
4448,Patron Exim Limited,INE0NPA01011,PATRON,  12.61 ,-, - ,-, - ,  12.61 ,Small Cap
4449,Gitanjali Gems Ltd.,INE346H01014,GITANJALI,  12.57 ,-, - ,-, - ,  12.57 ,Small Cap
4450,SUPER FINE KNITTERS LIMITED,INE459U01018,SKL,  12.57 ,-, - ,-, - ,  12.57 ,Small Cap
4451,SOUTHERN INFOCONSULTANTS LIMITED,INE298B01010,SOUTHERNIN,  12.56 ,-, - ,-, - ,  12.56 ,Small Cap
4452,INTERACTIVE FINANCIAL SERVICES LIMITED,INE064T01018,IFINSER,  12.52 ,-, - ,-, - ,  12.52 ,Small Cap
4453,Billwin Industries Limited,INE0CRS01012,BILLWIN,  12.51 ,-, - ,-, - ,  12.51 ,Small Cap
4454,Sri Lakshmi Saraswathi Textiles (Ar,INE456D01010,SLSTLQ,  12.50 ,-, - ,-, - ,  12.50 ,Small Cap
4455,Gujarat Cotex Ltd,INE004C01028,GUJCOTEX,  12.47 ,-, - ,-, - ,  12.47 ,Small Cap
4456,Ashish Polyplast Ltd.,INE831C01016,ASHISHPO,  12.44 ,-, - ,-, - ,  12.44 ,Small Cap
4457,Raasi Refractories Limited.,INE858D01017,RASSIREF,  12.44 ,-, - ,-, - ,  12.44 ,Small Cap
4458,Tacent Projects Limited,INE149D01011,TACENT,  12.42 ,-, - ,-, - ,  12.42 ,Small Cap
4459,International Securities Limited,INE086D01015,-, - ,-, - ,ISL,  12.41 ,  12.41 ,Small Cap
4460,Modern Shares and Stockbrokers Ltd.,INE370A01019,MODRNSH,  12.38 ,-, - ,-, - ,  12.38 ,Small Cap
4461,Rajputana Investment and Finance Ltd.,INE751R01014,RAJPUTANA,  12.38 ,-, - ,-, - ,  12.38 ,Small Cap
4462,3C IT Solutions and Telecoms (India) Limited,INE0R7D01018,3CIT,  12.38 ,-, - ,-, - ,  12.38 ,Small Cap
4463,Mercury Trade Links Ltd.,INE319T01016,MERCTRD,  12.37 ,-, - ,-, - ,  12.37 ,Small Cap
4464,Oswal Yarns Ltd.,INE670H01017,OSWAYRN,  12.33 ,-, - ,-, - ,  12.33 ,Small Cap
4465,Svam Software Ltd,INE119B01018,SVAMSOF,  12.27 ,-, - ,-, - ,  12.27 ,Small Cap
4466,VEDANT ASSET LIMITED,INE0NC801013,VEDANTASSET,  12.26 ,-, - ,-, - ,  12.26 ,Small Cap
4467,Phyto Chem (India) Ltd.,INE037C01010,PHYTO,  12.26 ,-, - ,-, - ,  12.26 ,Small Cap
4468,OMKAR SPECIALITY CHEMICALS LIMITED,INE474L01016,OMKARCHEM,  12.60 ,OMKARCHEM,  11.88 ,-, - ,  12.24 ,Small Cap
4469,Shri Rajivlochan Oil Extraction Ltd,INE418K01015,SHRAJOI,  12.23 ,-, - ,-, - ,  12.23 ,Small Cap
4470,Anna Infrastructures Ltd,INE336D01014,ANNAINFRA,  12.21 ,-, - ,-, - ,  12.21 ,Small Cap
4471,Kizi Apparels Limited,INE0RMR01013,KIZI,  12.17 ,-, - ,-, - ,  12.17 ,Small Cap
4472,Shukra Jewellers Limited,INE344E01016,SHUKJEW,  12.15 ,-, - ,-, - ,  12.15 ,Small Cap
4473,Devrup Trading Limited,INE790R01012,-, - ,-, - ,DEVRUPTRAD,  12.15 ,  12.15 ,Small Cap
4474,CEMANTIC INFRA-TECH LIMITED,INE222B01028,CEMAINFRA,  12.14 ,-, - ,-, - ,  12.14 ,Small Cap
4475,HARIYANA VENTURES LIMITED,INE219D01012,HVL,  12.13 ,-, - ,-, - ,  12.13 ,Small Cap
4476,Anjani Finance Ltd,INE283D01018,ANJANIFIN,  12.10 ,-, - ,-, - ,  12.10 ,Small Cap
4477,Elegant Floriculture & Agrotech (In,INE152E01013,ELEFLOR,  12.09 ,-, - ,-, - ,  12.09 ,Small Cap
4478,Sahara Maritime Limited,INE0PSJ01011,SMARITIME,  12.09 ,-, - ,-, - ,  12.09 ,Small Cap
4479,Cian Healthcare Limited,INE05BN01019,CHCL,  12.06 ,-, - ,-, - ,  12.06 ,Small Cap
4480,Indo-City Infotech Ltd.,INE456B01014,INDOCITY,  12.03 ,-, - ,-, - ,  12.03 ,Small Cap
4481,Kumbhat Financial Services Ltd.,INE795E01019,KUMPFIN,  11.97 ,-, - ,-, - ,  11.97 ,Small Cap
4482,Goenka Business & Finance Limited,INE997C01015,GBFL,  11.96 ,-, - ,GBFL,  11.96 ,  11.96 ,Small Cap
4483,BKM INDUSTRIES LIMITED,INE831Q01016,BKMINDST,  11.93 ,-, - ,-, - ,  11.93 ,Small Cap
4484,Inani Securities Ltd.,INE224C01014,INANISEC,  11.91 ,-, - ,-, - ,  11.91 ,Small Cap
4485,V B INDUSTRIES LIMITED,INE334E01017,VBIND,  11.91 ,-, - ,-, - ,  11.91 ,Small Cap
4486,Central Cables Limited,INE672G01015,-, - ,-, - ,CENTRAL,  11.90 ,  11.90 ,Small Cap
4487,V.B.Desai Financial Services Ltd,INE848D01018,VBDESAI,  11.89 ,-, - ,-, - ,  11.89 ,Small Cap
4488,Risa International Limited,INE001O01029,RISAINTL,  11.86 ,-, - ,-, - ,  11.86 ,Small Cap
4489,Catvision Limited,INE660B01011,CATVISION,  11.84 ,-, - ,-, - ,  11.84 ,Small Cap
4490,BROACH LIFECARE HOSPITAL LIMITED,INE0SFZ01018,BROACH,  11.84 ,-, - ,-, - ,  11.84 ,Small Cap
4491,Suryavanshi Spinning Mills Ltd.,INE431C01023,SURYVANSP,  11.78 ,-, - ,-, - ,  11.78 ,Small Cap
4492,Nyssa Corporation Limited,INE812K01027,NYSSACORP,  11.78 ,-, - ,-, - ,  11.78 ,Small Cap
4493,Eon Electric Ltd,INE076H01025,EON,  11.78 ,-, - ,-, - ,  11.78 ,Small Cap
4494,Veerkrupa Jewellers Limited,INE0ID001024,VEERKRUPA,  11.76 ,-, - ,-, - ,  11.76 ,Small Cap
4495,Janus Corporation Limited,INE04OV01018,JANUSCORP,  11.76 ,-, - ,-, - ,  11.76 ,Small Cap
4496,Arihants Securities ltd.,INE190D01015,ARISE,  11.73 ,-, - ,-, - ,  11.73 ,Small Cap
4497,Future Supply Chain Solutions Limited,INE935Q01015,FSC,  11.73 ,-, - ,-, - ,  11.73 ,Small Cap
4498,Welterman International Ltd.,INE662D01013,WELTI,  11.70 ,-, - ,-, - ,  11.70 ,Small Cap
4499,Alchemist Corporation Ltd,INE057D01016,ALCHCORP,  11.67 ,-, - ,-, - ,  11.67 ,Small Cap
4500,Northlink Fiscal And Capital Services Ltd.,INE736P01019,NORTHLINK,  10.49 ,-, - ,NFCSL,  12.82 ,  11.66 ,Small Cap
4501,Shanti Overseas (India) Ltd.,INE933X01016,-, - ,SHANTI,  11.64 ,-, - ,  11.64 ,Small Cap
4502,Pankaj Polymers Ltd.,INE698B01011,PANKAJPO,  11.58 ,-, - ,-, - ,  11.58 ,Small Cap
4503,DAPS ADVERTISING LIMITED,INE975Z01012,DAPS,  11.50 ,-, - ,-, - ,  11.50 ,Small Cap
4504,Pasari Spinning Mills Ltd.,INE604F01010,PASARI,  11.49 ,-, - ,-, - ,  11.49 ,Small Cap
4505,Beryl Drugs Ltd.,INE415H01017,BERLDRG,  11.48 ,-, - ,-, - ,  11.48 ,Small Cap
4506,SHANTI GURU INDUSTRIES LIMITED,INE892L01019,SHANTIGURU,  11.42 ,-, - ,-, - ,  11.42 ,Small Cap
4507,Prima Agro Ltd.,INE297D01018,PRIMAGR,  11.40 ,-, - ,-, - ,  11.40 ,Small Cap
4508,Sterling International Enterprises Limited,INE696C01021,STEERINTER,  11.40 ,-, - ,-, - ,  11.40 ,Small Cap
4509,Brandbucket Media & Technology Limited,INE0ILD01014,BRANDBUCKT,  11.39 ,-, - ,-, - ,  11.39 ,Small Cap
4510,Encash Entertainment Limited,INE552Q01018,ENCASH,  11.30 ,-, - ,-, - ,  11.30 ,Small Cap
4511,Tarini Enterprises Limited,INE999P01013,-, - ,-, - ,TARINIENT,  11.30 ,  11.30 ,Small Cap
4512,i Power Solutions India Ltd.,INE468F01010,iPOWER,  11.29 ,-, - ,-, - ,  11.29 ,Small Cap
4513,UFM Industries Ltd,INE832E01010,UFMINDL,  11.27 ,-, - ,-, - ,  11.27 ,Small Cap
4514,Arihant Classic Finance Limited,INE763C01011,-, - ,-, - ,ARIHANTCFL,  11.26 ,  11.26 ,Small Cap
4515,Indo Euro Indchem Limited,INE319N01019,INDOEURO,  11.26 ,-, - ,-, - ,  11.26 ,Small Cap
4516,FGP Ltd,INE512A01016,FGP,  11.24 ,-, - ,-, - ,  11.24 ,Small Cap
4517,Pyxis Finvest Limited,INE883L01018,PYXISFIN,  11.23 ,-, - ,-, - ,  11.23 ,Small Cap
4518,J.K.Pharmachem Ltd.,INE335C01018,JKPHARMA,  11.22 ,-, - ,-, - ,  11.22 ,Small Cap
4519,Chemiesynth (Vapi) Limited,INE829R01018,CHEMIESYNT,  11.22 ,-, - ,-, - ,  11.22 ,Small Cap
4520,Longspur International Ventures Limited,INE180M01033,LONGSPUR,  11.21 ,-, - ,-, - ,  11.21 ,Small Cap
4521,East Coast Steel Ltd,INE315F01013,ECSTSTL,  11.18 ,-, - ,-, - ,  11.18 ,Small Cap
4522,Kuwer Industries Ltd.,INE430F01010,KUWERIN,  11.18 ,-, - ,-, - ,  11.18 ,Small Cap
4523,Marmagoa Steels Ltd.,INE698E01023,MRMGAST,  11.15 ,-, - ,-, - ,  11.15 ,Small Cap
4524,IGC Industries Limited,INE099S01016,IGCIL,  11.15 ,-, - ,-, - ,  11.15 ,Small Cap
4525,Leel Electricals Limited,INE245C01019,LEEL,  11.13 ,-, - ,-, - ,  11.13 ,Small Cap
4526,GENOMIC VALLEY BIOTECH LIMITED,INE574D01010,GVBL,  11.12 ,-, - ,-, - ,  11.12 ,Small Cap
4527,Unjha Formulations Ltd.,INE576D01015,UNJHAFOR,  11.10 ,-, - ,-, - ,  11.10 ,Small Cap
